id,ruleset_id,dlc_id,leader,bonus_name,bonus_desc,nation,ability_name,ability_desc
30,6,6,Tamar,Glory of the World<comma/> Kingdom and Faith,+100% <faith/> Faith for 10 turns after declaring a Protectorate War. Each <envoy/> Envoy you send to a city-state of your majority Religion counts as two <envoy/> Envoys. (Must have a majority Religion).,Georgia,Strength in Unity,When making Dedications at the beginning of a Golden Age or Heroic Age<comma/> receive the Normal Age bonus towards improving Era Score in addition to the other bonus.
31,6,6,Seondeok,Hwarang,Governors established in a city provide +3% <culture/> Culture and <science/> Science for each Promotion they have earned<comma/> including their first.,Korea,Three Kingdoms,Mines receive +1 <science/> Science if there is an adjacent Seowon district. Farms receive +1 <food/> Food if there is an adjacent Seowon district.
32,6,6,Lautaro,Swift Hawk,If a Mapuche Unit defeats an enemy unit within the borders of the enemy city<comma/> that city loses 20 Loyalty. Pillaging a plot in an enemy city causes it to lose 5 loyalty.,Mapuche,Toqui,All units trained in cities with an established Governor gain 25% more experience in combat. +10 <combat/> Combat Strength bonus against civilizations that are in a Golden Age.
33,6,6,Genghis Khan,Mongol Horde,All cavalry class units gain +3 <combat/> Combat Strength and a chance to capture defeated enemy cavalry class units.,Mongolia,Ortoo,Starting a <route/> Trade Route Immediately creates a <post/> Trading Post in the destination city. Receive an extra level of <visibility/> Diplomatic Visibility for possessing a <post/> Trading Post in any city of a civilization. All Mongolian units double the usual <combat/> Combat Bonus for having a higher level of <visibility/> Diplomatic Visibility than their opponent.
34,6,6,Robert the Bruce,Bannockburn,Can declare a War of Liberation after gaining the Defensive Tactic Civic. +100% <production/> Production and +2 <movement/> Movement for the first 10 turns after declaring War of Liberation.,Scotland,Scottish Enlightenment,Happy cities receive an additional +5% <science/> Science and +5% <production/> Production. Happy cities generate +1 <greatscientist/> Great Scientist point per Campus and +1 <greatengineer/> Great Engineer point per Industrial Zone. Ecstatic cities double all these amounts.
35,6,6,Shaka,Amabutho,May form Corps (Mercenaries Civic) and Armies (Nationalism Civic) earlier. An additional +5 <combat/> Base Combat Strength to both Corps and Armies.,Zulu,Isibongo,Cities with a garrisoned unit get +3 Loyalty per turn<comma/> or +5 if it is a Corps or Army. Conquering a city with a unit will upgrade it into a Corps or Army<comma/> if the proper Civics are unlocked.
0,7,0,Teddy Roosevelt,Roosevelt Corollary,Units receive +5 <combat/> Combat Strength on their home continent. +1 Appeal to all tiles in a city with a National Park. Gain the Rough Rider unique unit when they research the Rifling technology.,America,Founding Fathers,All Diplomatic policy slots in the current government are converted to Wildcard slots.
1,7,0,Saladin,Righteousness of the Faith,The worship building for their Religion can be purchased by any player for just one-tenth of the usual <faith/> Faith cost. This worship building is enhanced to add 10% to the <science/> Science<comma/> <faith/> Faith<comma/> and <culture/> Culture output of Arabian cities.,Arabia,The Last Prophet,Automatically receive the final <prophet/> Great Prophet when the next-to-last one is claimed (if you have not earned one already). +1 <science/> Science for each foreign city following Arabia's Religion.
2,7,0,Montezuma,Gifts for the Tlatoani,Luxury resources for his territory provide an <amenity/> Amenity to 2 extra cities. Military units receive +1 <combat/> Combat Strength when attacking for each different Luxury resource improved in Aztec lands.,Aztec,Legend of the Five Suns,Spend Builder charges to complete 20% of the original district cost.
3,7,0,Pedro II,Magnanimous,After recruiting or patronizing a <greatperson/> Great Person<comma/> 20% of its <greatperson/> Great Person point cost is refunded.,Brazil,Amazon,Rainforest tiles provide +1 adjacency bonus for Campus<comma/> Commercial Hub<comma/> Holy Site<comma/> and Theater Square districts. Rainforest tiles provide +1 <housing/> Housing for Neighborhoods built adjacent to them.
4,7,0,Qin Shi Huang,The First Emperor,When building Ancient and Classical wonders you may spend Builder charges to complete 15% of the original wonder cost. Builders receive an additional charge.,China,Dynastic Cycle,<eureka/> Eurekas and <inspiration/> Inspirations provide 50% of civics and technologies instead of 40%.
5,7,0,Cleopatra,Mediterranean’s Bride,Your <route/> Trade Routes to other civilizations provide +4 <gold/> Gold for Egypt. Other civilizations’ <route/> Trade Routes provide +2 <food/> Food for them and +2 <gold/> Gold for Egypt. Trading with Allies earns twice as many bonus Alliance Points.,Egypt,Iteru,+15% <production/> Production towards districts and wonders if placed next to a River. Floodplains do not block placement of districts and wonders.
6,7,0,Victoria,Pax Britannica,All cities founded on a continent other than your home continent receive a free melee unit. After founding<comma/> constructing a Royal Navy Dockyard there will grant an additional free melee unit. Gain the Redcoat unique unit when the Military Science technology is researched.,England,British Museum,Each Archaeological Museum holds 6 <artifact/> Artifacts instead of 3<comma/> and can support 2 Archaeologists at once. Archaeological Museums are automatically themed when they have 6 artifacts.
7,7,0,Catherine de Medici,Catherine’s Flying Squadron,Has 1 level of <visibility/> Diplomatic Visibility greater than normal with every civilization that she’s met. Receives a free Spy (and extra spy capacity) with the Castles technology. All spies start as Agents with a free promotion.,France,Grand Tour,+20% <production/> Production toward Medieval<comma/> Renaissance<comma/> and Industrial era wonders. <tourism/> Tourism from wonders of any era is doubled.
8,7,0,Frederick Barbarossa,Holy Roman Emperor,Additional Military policy slot. +7 <combat/> Combat Strength when attacking city-states.,Germany,Free Imperial Cities,Each city can build one more district than usual (exceeding the normal limit based on <population/> Population).
9,7,0,Gorgo,Thermopylae,Combat victories provide <culture/> Culture equal to 50% of the <combat/> Combat Strength of the defeated unit.,Greece,Plato’s Republic,One extra wildcard policy slot in any government.
10,7,0,Pericles,Surrounded by Glory,+5% <culture/> Culture per city-state you are the Suzerain of.,Greece,Plato’s Republic,One extra wildcard policy slot in any government.
11,7,0,Gandhi,Satyagraha,+5 <faith/> Faith for each civilization (including India) they have met that has founded a Religion and is not currently at war. Opposing civilizations receive double the war weariness for fighting against Gandhi.,India,Dharma,Receives Follower Belief bonuses in a city from each Religion that has at least 1 follower.
12,7,0,Chandragupta,Arthashastra,Can declare War of Territorial Expansion after gaining the Military Training Civic. +2 <movement/> Movement and +5 <combat/> Combat Strength for the first 10 turns after declaring a War of Territorial Expansion.,India,Dharma,Receives Follower Belief bonuses in a city from each Religion that has at least 1 follower.
13,7,0,Hojo Tokimune,Divine Wind,Land units receive +5 <combat/> Combat Strength in land tiles adjacent to Coast; naval units receive +5 <combat/> Combat Strength in shallow water tiles. Builds Encampment<comma/> Holy Site and Theater Square districts in half the time.,Japan,Meiji Restoration,All districts receive an additional standard adjacency bonus for being adjacent to another district.
14,7,0,Mvemba a Nzinga,Religious Convert,May not build Holy Site districts<comma/> gain Great Prophets<comma/> or found Religions. Gains all Beliefs of any Religion that has established itself in a majority of his cities.Receives an Apostle each time he finishes a M’banza or Theater Square district (of that city’s majority Religion).,Kongo,Nkisi,+2 <food/> Food<comma/> +2 <production/> Production<comma/> +4 <gold/> Gold from each <relic/> Relic<comma/> <artifact/> Artifact<comma/> and <sculpture/> Sculpture Great Work of Art in addition to the usual <culture/> Culture. Receive 50% more <greatwriter/> Great Writer<comma/> <greatartist/> Great Artist<comma/> <greatmusician/> Great Musician<comma/> and <greatmerchant/> Great Merchant points. Palace has slots for 5 Great Work.
15,7,0,Harald Hardrada,Thunderbolt of the North,Allows coastal raiding for all naval melee units and +50% <production/> Production toward all naval melee units.,Norway,Knarr,Units gain the ability to enter Ocean tiles after researching the Shipbuilding technology. Naval melee units heal in neutral territory. Units ignore additional <movements/> Movement costs from embarking and disembarking.
16,7,0,Trajan,Trajan’s Column,All cities start with an additional City Center building. (Starts with a Monument building in the Ancient era).,Rome,All Roads Lead to Rome,All cities you found or conquer start with a Trading Post. If in <route/> Trade Route range of your <capital/> Capital<comma/> they also start with a road to it. Your <route/> Trade Routes earn +1 <gold/> Gold for passing through Trading Posts in your own cities.
17,7,0,Peter,The Grand Embassy,Receives <science/> Science or <culture/> Culture from <route/> Trade Routes to civilizations that are more advanced than Russia (+1 per 3 technologies or civics ahead).,Russia,Mother Russia,Extra Territory upon founding cities. +1 <faith/> Faith and +1 <production/> Production from Tundra.
18,7,0,Tomyris,Killer of Cyrus,All units receive +5 <combat/> Combat Strength when attacking wounded units. When they eliminate a unit<comma/> they heal up to 30 hit points.,Scythia,People of the Steppe,Receive a second light cavalry unit or Saka Horse Archer each time you train a light cavalry unit or Saka Horse Archer.
19,7,0,Philip II,El Escorial,Inquisitors can Remove Heresy one extra time. Combat units have a bonus of +4 <combat/> Combat Strength against players following other Religions.,Spain,Treasure Fleet,May form Fleets and Armadas earlier than usual (Mercantilism). <route/> Trade Routes between multiple continents receive bonus <gold/> Gold for routes to other civilizations<comma/> and bonus <food/> Food and <production/> Production for routes between your own cities with a Mission improvement adjacent to the City Center and not on your original <capital/> Capital’s continent.
20,7,0,Gilgamesh,Adventures of Enkidu,May declare war on anyone at war with their allies without warmonger penalties. When at war with a common foe<comma/> they and their allies share pillage rewards and share combat experience gains if within 5 tiles. Their Alliances gain Alliance Points for being at war with a common foe.,Sumeria,Epic Quests,When you capture a Barbarian outpost<comma/> receive a Tribal Village reward in addition to the usual <gold/> Gold. Pay half the usual cost to levy city-state units.
21,7,1,Jadwiga,Lithuanian Union,The Religion founded by Poland becomes the majority in an adjacent city that loses a tile to a Polish Culture Bomb. Holy sites gain standard Faith adjacency bonus from adjacent districts. All <relic/>Relics provide bonus Faith (+2)<comma/> Culture (+2) and Gold (+4).,Poland,Golden Liberty,Building an Encampment or Fort triggers a Culture Bomb<comma/> claiming surrounding tiles. One Military policy slot in all governments is converted into a Wildcard policy slot.
22,7,2,John Curtin,Citadel of Civilization,+100% <production/> Production if either they have received a declaration of war in the past 10 turns or if they have liberated a city in the past 20 turns.,Australia,Land Down Under,+3 <housing/> Housing in coastal cities. Pastures trigger a Culture Bomb. Yields from Campuses<comma/> Commercial Hubs<comma/> Holy Sites and Theater Squares are +1 in tiles with Charming Appeal<comma/> +3 in Breathtaking.
23,7,3,Cyrus,Fall of Babylon,+2 <movement/> Movement for the first 10 turns after declaring a Surprise War on a major civilization. +5 Loyalty per turn in occupied cities with a garrisoned unit. Declaring a Surprise War only counts as a Formal War for the purpose of warmongering and war weariness.,Persia,Satrapies,+1 <route/> Trade Route capacity with the Political Philosophy civic. Receive +2 <gold/> Gold and +1 <culture/> Culture for routes between your own cities. Roads built in your territory are one level more advanced than usual.
24,7,3,Alexander,To World’s End,Cities do not incur war weariness. All military units heal completely when this player captures a city with a world wonder.,Macedon,Hellenistic Fusion,Receive boosts upon city conquest: a <eureka/> Eureka for each Encampment or Campus in the conquered city and an <inspiration/> Inspiration for each Holy Site or Theater Square.
25,7,4,Amanitore,Kandake of Meroe,+20% <production/> Production towards all districts rising to +40% if there is a Nubian Pyramid adjacent to the City Center.,Nubia,Ta-seti,+50% <production/> Production toward Ranged units. All Ranged units gain +50% combat experience. Mines over strategic resources provide +1 <production/> Production. Mines over bonus and luxury resources provide +2 <gold/> Gold.
26,7,5,Jayavarman VII,Monasteries of the King,Holy Sites provide +2 <food/> Food and +1 <housing/> Housing if placed on a river. Holy Sites trigger a Culture Bomb.,Khmer,Grand Barays,+3 <faith/> Faith and +1 <amenity/> Amenity from entertainment to each city with an aqueduct. Farms provide +2 <food/> Food if adjacent to an Aqueduct.
27,7,5,Gitarja,Exalted Goddess of the Three Worlds,Naval units can be purchased with <faith/> Faith. Religious units pay no movement to embark or disembark. +2 <faith/> Faith to City Centers that are adjacent to Coast or Lake tiles.,Indonesia,Great Nusantara,Coast and Lake tiles provide a minor adjacency bonus for Holy Site<comma/> Campus<comma/> Industrial Zone<comma/> and Theater Square districts. +1 <amenity/> Amenity from entertainment to each Entertainment Complex adjacent to a Coast or Lake tile.
28,7,6,Poundmaker,Favorable Terms,All Alliance types provide Shared Visibility. Your <route/> Trade Routes grant +1 <food/> Food per Camp or Pasture in the receiving city. Your <route/> Trade Routes grant +1 <gold/> Gold for Poundmaker per Camp or Pasture in the receiving city.,Cree,Nihithaw,+1 <route/> Trade Route capacity and a free Trader with the Pottery technology. Unclaimed tiles within 3 tiles of a Cree city come under Cree control when a Trader first moves into them.
29,7,6,Wilhelmina,Radio Oranje,Your <route/> Trade Routes to your own cities provide +1 Loyalty per turn for the starting city. <route/> Trade Routes to foreign cities or from foreign cities provide +1 <culture/> Culture to you.,Netherlands,Grote Rivieren,Major adjacency bonus for Campuses<comma/> Theater Squares<comma/> and Industrial Zones if next to a river. Culture Bomb adjacent tiles when completing a Harbor.
30,7,6,Tamar,Glory of the World<comma/> Kingdom and Faith,+100% <faith/> Faith for 10 turns after declaring a Protectorate War. Each <envoy/> Envoy you send to a city-state of your majority Religion counts as two <envoy/> Envoys. (Must have a majority Religion).,Georgia,Strength in Unity,When making Dedications at the beginning of a Golden Age or Heroic Age<comma/> receive the Normal Age bonus towards improving Era Score in addition to the other bonus.
31,7,6,Seondeok,Hwarang,Governors established in a city provide +3% <culture/> Culture and <science/> Science for each Promotion they have earned<comma/> including their first.,Korea,Three Kingdoms,Mines receive +1 <science/> Science if there is an adjacent Seowon district. Farms receive +1 <food/> Food if there is an adjacent Seowon district.
32,7,6,Lautaro,Swift Hawk,If a Mapuche Unit defeats an enemy unit within the borders of the enemy city<comma/> that city loses 20 Loyalty. Pillaging a plot in an enemy city causes it to lose 5 loyalty.,Mapuche,Toqui,All units trained in cities with an established Governor gain 25% more experience in combat. +10 <combat/> Combat Strength bonus against civilizations that are in a Golden Age.
33,7,6,Genghis Khan,Mongol Horde,All cavalry class units gain +3 <combat/> Combat Strength and a chance to capture defeated enemy cavalry class units.,Mongolia,Ortoo,Starting a <route/> Trade Route Immediately creates a <post/> Trading Post in the destination city. Receive an extra level of <visibility/> Diplomatic Visibility for possessing a <post/> Trading Post in any city of a civilization. All Mongolian units double the usual <combat/> Combat Bonus for having a higher level of <visibility/> Diplomatic Visibility than their opponent.
34,7,6,Robert the Bruce,Bannockburn,Can declare a War of Liberation after gaining the Defensive Tactic Civic. +100% <production/> Production and +2 <movement/> Movement for the first 10 turns after declaring War of Liberation.,Scotland,Scottish Enlightenment,Happy cities receive an additional +5% <science/> Science and +5% <production/> Production. Happy cities generate +1 <greatscientist/> Great Scientist point per Campus and +1 <greatengineer/> Great Engineer point per Industrial Zone. Ecstatic cities double all these amounts.
35,7,6,Shaka,Amabutho,May form Corps (Mercenaries Civic) and Armies (Nationalism Civic) earlier. An additional +5 <combat/> Base Combat Strength to both Corps and Armies.,Zulu,Isibongo,Cities with a garrisoned unit get +3 Loyalty per turn<comma/> or +5 if it is a Corps or Army. Conquering a city with a unit will upgrade it into a Corps or Army<comma/> if the proper Civics are unlocked.
36,7,7,Dido,Founder of Carthage,Cities with a Cothon gain the unique Move Capital project<comma/> which moves the <capital/> capital to that city. Gains +1 <route/> Trade Route capacity after building the Government Plaza building. +50% <production/> Production towards districts in the city with the Government Plaza.,Phoenicia,Mediterranean Colonies,Starts with the <eureka/> Eureka for Writing. Coastal cities founded by Phoenicia and in the same continent as their <capital/> Capital will always have full Loyalty. Settlers receive +2 <movement/> Movement and sight radius while embarked<comma/> and pay no <movement/> Movement costs to embark or disembark.
37,7,7,Eleanor of Aquataine,Court of Love,Each Great Work in her cities causes foreign cities within 9 tiles to lose 1 Loyalty per turn. Any foreign city that leaves its civilization due to loss of Loyalty and is receiving the most Loyalty pressure from Eleanor instantly joins her empire<comma/> instead of becoming a Free City.,England,British Museum,Each Archaeological Museum holds 6 <artifact/> Artifacts instead of 3<comma/> and can support 2 Archaeologists at once. Archaeological Museums are automatically themed when they have 6 artifacts.
38,7,7,Eleanor of Aquataine,Court of Love,Each Great Work in her cities causes foreign cities within 9 tiles to lose 1 Loyalty per turn. Any foreign city that leaves its civilization due to loss of Loyalty and is receiving the most Loyalty pressure from Eleanor instantly joins her empire<comma/> instead of becoming a Free City.,France,Grand Tour,+20% <production/> Production toward Medieval<comma/> Renaissance<comma/> and Industrial era wonders. <tourism/> Tourism from wonders of any era is doubled.
39,7,7,Kristina,Minerva of the North,Buildings with at least three Great Work slots and wonders with at least two Great Work slots are automatically themed when all slots are filled. Gains the Queen’s Bibliotheque unique building in the Government Plaza.,Sweden,Nobel Prize,Gains 50 Diplomatic Favor whenever a Great Person is earned. +1 <greatengineer/> Great Engineer points from Factories and +1 <greatscientist/> Great Scientist points from Universities. Sweden’s presence in the game adds three unique World Congress competitions in the Industrial Era.
40,7,7,Kupe,Kupe’s Voyage,Starts the game in the Ocean. +2 <science/> Science and +2 <culture/> Culture per turn before the first city is settled. Their first settled city receives a free Builder and +1 <population/> Population. The Palace grants +3 <housing/> Housing and +1 <amenity/> Amenity.,Maori,Mana,Starts with Sailing an Shipbuilding unlocked and the ability to enter Ocean tiles. Embarked units gain +5 <combat/> Combat Strength and +2 <movement/> Movement. Unimproved Woods and Rainforests provide +1 <production/> Production<comma/> increasing to +2 with Conservation. Fishing Boats provide +2 <food/> Food. Building a Fishing Boat triggers a culture bomb<comma/> claiming surrounding tiles. Resources cannot be harvested. <greatwriter/> Great Writers cannot be earned.
41,7,7,Mansa Musa,Sahel Merchants,International <route/> Trade Routes get +1 <gold/> Gold for every flat Desert tile in the sending city. Entering a Golden Age permanently grants +1 <route/> Trade Route capacity.,Mali,Songs of the Jeli,City Centers gain +1 <faith/> Faith and +1 <food/> Food for every adjacent Desert and Desert Hills tile. Mines receive +1 <production/> Production and +4 <gold/> Gold. May purchase Commercial Hub buildings with <faith/> Faith. -30% <production/> towards buildings and units.
42,7,7,Corvinius,Raven King,Levied city-state units receive +2 <movement/> Movement and +5 <combat/> Combat Strength<comma/> and can be upgraded at no cost in <gold/> Gold or resources. Levying troops from a city-state grants 2 <envoy/> Envoys with that city city-state. Gain the Black Army unique unit with Castles.,Hungary,Pearl of the Danube,+50% <production/> Production for districts and building built across a river from a City Center.
